Country Name,Year,Ind 1,Ind 2,Ind 3,Ind 4,Ind 5,Ind 6,Ind 7,Ind 8,Ind 9,Ind 10,Ind 11,Ind 12,Ind 13,Ind 14,Ind 15,Ind 16,Ind 17,Ind 18,Ind 19,Ind 20,Ind 21,Ind 22,Ind 23,Ind 24,Ind 25,Ind 26,Ind 27,Ind 28,Ind 29,Ind 30,Ind 31,Ind 32,Ind 33,Happiness Score
British Virgin Islands,2015,83.1659,90.89,2.673,1.281,4.411,21.565,58.786,20.65,16.265,23.636,52.33,42.383,7.73,16.56414,19.03976,26.769,10.04,2.60059E+12,3.065,20.026,91.096,3.06,13.885,31.408,30113,8.0757,11.74126,1.229135669,150,16.878,85.25,8.223,281.99,5.421
Brunei Darussalam,2015,100,96.26153,-6.26880007,-7.57933349,3.666787212,54.01765972,38.43083299,16.138,16.265,23.636,52.33,42.383,3.512,33.528,35.337,26.769,10.04,12930394938,-0.566814609,55.15243559,91.096,2.434456929,4.7,10.5,417542,8.83654,10.01661,0.014935036,5770,16.878,84.89706379,8.223,281.99,5.421
Bulgaria,2015,100,94.79227,3.723017221,4.386958075,3.850144396,23.39089711,51.70585846,9.2,16.265,23.636,52.33,42.383,15.3,33.528,35.337,34.78903124,10.04,50201314895,3.471186041,21.33655922,91.096,4.832691912,4.1,8.3,7177991,16.5696,23.4515,17.65007793,111000,20.20137126,128.0610148,9.143300056,281.99,4.218
Burkina Faso,2015,18.47008133,69.96008,-0.5569246,-3.437692881,4.31,14.89010081,92.2404615,39.436,16.265,23.636,52.33,42.383,8.818,57.86803,22.0908,14.98104518,29.56322962,10419303761,3.894548057,14.08783979,91.096,-2.407933106,26.6,88.4,18110624,25.19571,42.17715,74.16718786,274220,15.07492976,47.94790441,8.223,281.99,3.587
Burundi,2015,7.2520895,90.89,-6.479038394,-9.298438731,5.175521639,2.083308248,89.59206348,42.662,16.265,23.636,52.33,42.383,11.032,33.528,35.337,26.769,40.51923619,3104394858,-3.900003086,2.164415581,91.096,3.06,23.4,67.1,10199270,35.79281,43.22109,95.67892425,27830,16.878,22.85071109,8.223,281.99,2.905
Cabo Verde,2015,90.24390411,87.03651,1.610622233,0.375842092,5.01,21.565,55.37093943,21.144,16.265,23.636,52.33,42.383,5.606,39.44762,39.59043,26.769,6.48427769,1596800287,1.006863707,15.93538988,98.11131,2.732576903,11.8,19.7,532913,16.40755,21.94779,26.5797159,4030,16.878,104.066089,31.31270027,281.99,5.421
Cambodia,2015,47.56573868,95.28891,6.692055693,4.994864047,2.005377018,17.68192462,55.57295213,23.682,16.265,23.636,52.33,42.383,6.109,33.528,35.337,11.59696999,19.15212272,18049954289,7.036087179,17.79687263,92.21236,9.224423419,16.3,32,15517635,16.5696,45.52116,64.92377591,181040,14.16823803,127.864067,8.223,281.99,3.819
Cameroon,2015,58.86510086,90.89,5.613434184,2.863227763,2.68,16.89675308,85.86838371,36.837,16.265,23.636,52.33,42.383,10.348,33.528,35.337,26.769,7.89886741,30916218544,5.651463744,17.04617382,91.096,3.076737258,26.5,90.1,22834522,19.86712,41.46571,76.53840041,475440,16.878,49.869207,8.223,281.99,4.252
Canada,2015,100,99.5981,-1.577924427,-2.394155097,4.93,20.35824587,47.33101233,10.8,16.265,23.636,52.33,42.383,7.5,33.528,35.337,17.03915613,10.04,1.56E+12,1.000882494,21.63880995,91.096,0.259308218,3.6,5.3,35832513,16.5696,23.4515,22.02535921,9984670,12.31598803,65.52773532,6.906499863,281.99,7.427
Cayman Islands,2015,100,90.89,2.673,1.281,4.411,21.565,58.786,10.7,16.265,23.636,52.33,42.383,2.8,33.528,35.337,26.769,10.04,2.60059E+12,2.833122427,20.026,91.096,2.123638663,13.885,31.408,59963,16.5696,23.4515,29.283,263.9999962,16.878,85.25,4.239999771,281.99,5.421
Central African Republic,2015,13.38442326,90.89,5.53136057,4.81851725,1.15,21.565,90.03543962,36.113,16.265,23.636,52.33,42.383,14.008,33.528,35.337,26.769,43.50640842,1583776806,4.799886081,-8.044079184,91.096,2.121252671,43.1,130.2,4546100,16.5696,23.4515,76.56702001,622980,16.878,47.19062219,8.223,281.99,3.678
Chad,2015,7.7,90.89,-6.907977199,-9.831594536,1.766790839,21.565,100.1695011,43.864,16.265,23.636,52.33,42.383,13.217,33.528,35.337,26.769,14.89037545,10945989472,2.767675685,21.53476328,38.77242,-2.499999925,35.9,130.8,14009413,27.45229,55.54179,89.35739557,1284000,16.878,66.56416435,8.223,281.99,3.667
